,Station,Date,PM 2.5
0,Paris,2022-01-01,51
1,Paris,2022-01-01,51
2,Paris,2022-01-03,49
3,Paris,2022-01-03,49
4,Paris,2022-01-04,38
5,Paris,2022-01-05,26
6,Paris,2022-01-06,37
7,Paris,2022-01-08,40
8,Paris,2022-01-08,40
9,Paris,2022-01-09,37
10,Paris,2022-01-10,34
11,Paris,2022-01-11,76
12,Paris,2022-01-13,104
13,Paris,2022-01-13,104
14,Paris,2022-01-15,104
15,Paris,2022-01-15,104
16,Paris,2022-01-17,87
17,Paris,2022-01-18,77
18,Paris,2022-01-19,65
19,Paris,2022-01-20,68
20,Paris,2022-01-21,50
21,Paris,2022-01-21,50
22,Paris,2022-01-23,61
23,Paris,2022-01-24,65
24,Paris,2022-01-25,86
25,Paris,2022-01-25,86
26,Paris,2022-01-27,108
27,Paris,2022-01-28,93
28,Paris,2022-01-28,93
29,Paris,2022-01-30,52
30,Paris,2022-01-31,45
31,Paris,2022-02-01,38
32,Paris,2022-02-02,36
33,Paris,2022-02-03,25
34,Paris,2022-02-03,25
35,Paris,2022-02-05,41
36,Paris,2022-02-05,41
37,Paris,2022-02-07,35
38,Paris,2022-02-08,39
39,Paris,2022-02-09,73
40,Paris,2022-02-10,68
41,Paris,2022-02-10,68
42,Paris,2022-02-12,52
43,Paris,2022-02-12,52
44,Paris,2022-02-13,66
45,Paris,2022-02-15,31
46,Paris,2022-02-16,34
47,Paris,2022-02-17,19
48,Paris,2022-02-18,47
49,Paris,2022-02-19,38
50,Paris,2022-02-19,38
51,Paris,2022-02-21,36
52,Paris,2022-02-22,46
53,Paris,2022-02-22,46
54,Paris,2022-02-23,52
55,Paris,2022-02-24,54
56,Paris,2022-02-26,34
57,Paris,2022-02-27,60
58,Paris,2022-02-27,60
59,Paris,2022-03-01,62
60,Paris,2022-03-01,62
61,Paris,2022-03-02,91
62,Paris,2022-03-03,96
63,Paris,2022-03-04,109
64,Paris,2022-03-05,112
65,Paris,2022-03-07,118
66,Paris,2022-03-08,90
67,Paris,2022-03-09,105
68,Paris,2022-03-09,105
69,Paris,2022-03-11,72
70,Paris,2022-03-12,52
71,Paris,2022-03-13,47
72,Paris,2022-03-13,47
73,Paris,2022-03-15,51
74,Paris,2022-03-15,51
75,Paris,2022-03-16,58
76,Paris,2022-03-18,43
77,Paris,2022-03-19,66
78,Paris,2022-03-19,66
79,Paris,2022-03-21,61
80,Paris,2022-03-22,84
81,Paris,2022-03-23,76
82,Paris,2022-03-24,86
83,Paris,2022-03-25,93
84,Paris,2022-03-25,93
85,Paris,2022-03-27,98
86,Paris,2022-03-27,98
87,Paris,2022-03-29,105
88,Paris,2022-03-29,105
89,Paris,2022-03-31,118
90,Paris,2022-04-01,69
91,Paris,2022-04-01,69
92,Paris,2022-04-02,39
93,Paris,2022-04-04,54
94,Paris,2022-04-04,54
95,Paris,2022-04-06,43
96,Paris,2022-04-07,36
97,Paris,2022-04-07,36
98,Paris,2022-04-09,35
99,Paris,2022-04-10,39
100,Paris,2022-04-11,63
101,Paris,2022-04-11,63
102,Paris,2022-04-13,43
103,Paris,2022-04-13,43
104,Paris,2022-04-15,63
105,Paris,2022-04-16,57
106,Paris,2022-04-17,63
107,Paris,2022-04-17,63
108,Paris,2022-04-19,40
109,Paris,2022-04-20,46
110,Paris,2022-04-20,46
111,Paris,2022-04-22,50
112,Paris,2022-04-23,49
113,Paris,2022-04-24,60
114,Paris,2022-04-24,60
115,Paris,2022-04-25,62
116,Paris,2022-04-26,61
117,Paris,2022-04-28,63
118,Paris,2022-04-29,68
119,Paris,2022-04-29,68
