,Station,Date,PM 2.5
174,Dijon,2022-06-24,28
175,Dijon,2022-06-25,14
176,Dijon,2022-06-26,13
177,Dijon,2022-06-27,10
178,Dijon,2022-06-28,7
179,Dijon,2022-06-29,10
180,Dijon,2022-06-30,12
181,Dijon,2022-07-01,16
182,Dijon,2022-07-02,8
183,Dijon,2022-07-03,11
184,Dijon,2022-07-05,17
185,Dijon,2022-07-05,17
186,Dijon,2022-07-06,16
187,Dijon,2022-07-07,18
188,Dijon,2022-07-09,18
189,Dijon,2022-07-09,18
190,Dijon,2022-07-10,17
191,Dijon,2022-07-11,18
192,Dijon,2022-07-12,9
193,Dijon,2022-07-13,20
194,Dijon,2022-07-15,28
195,Dijon,2022-07-15,28
196,Dijon,2022-07-16,25
197,Dijon,2022-07-17,17
198,Dijon,2022-07-18,22
199,Dijon,2022-07-19,27
200,Dijon,2022-07-20,39
201,Dijon,2022-07-21,65
202,Dijon,2022-07-22,13
203,Dijon,2022-07-23,29
204,Dijon,2022-07-24,53
205,Dijon,2022-07-25,29
206,Dijon,2022-07-26,38
207,Dijon,2022-07-27,14
208,Dijon,2022-07-28,10
209,Dijon,2022-07-30,15
210,Dijon,2022-07-30,15
211,Dijon,2022-07-31,16
212,Dijon,2022-08-01,19
213,Dijon,2022-08-02,3
214,Dijon,2022-08-03,12
215,Dijon,2022-08-04,13
216,Dijon,2022-08-05,19
217,Dijon,2022-08-06,24
218,Dijon,2022-08-07,26
219,Dijon,2022-08-08,13
220,Dijon,2022-08-09,16
221,Dijon,2022-08-10,25
222,Dijon,2022-08-12,22
223,Dijon,2022-08-12,22
224,Dijon,2022-08-13,25
225,Dijon,2022-08-14,16
226,Dijon,2022-08-15,26
227,Dijon,2022-08-16,18
228,Dijon,2022-08-17,27
229,Dijon,2022-08-18,19
230,Dijon,2022-08-19,14
231,Dijon,2022-08-20,20
232,Dijon,2022-08-24,9
233,Dijon,2022-08-24,9
234,Dijon,2022-08-25,18
235,Dijon,2022-08-26,25
236,Dijon,2022-08-27,25
237,Dijon,2022-08-28,23
238,Dijon,2022-08-29,24
239,Dijon,2022-08-31,23
240,Dijon,2022-09-01,29
241,Dijon,2022-09-01,29
242,Dijon,2022-09-02,27
243,Dijon,2022-09-03,25
244,Dijon,2022-09-04,16
245,Dijon,2022-09-05,11
246,Dijon,2022-09-07,22
247,Dijon,2022-09-07,22
248,Dijon,2022-09-08,19
249,Dijon,2022-09-09,10
250,Dijon,2022-09-10,11
251,Dijon,2022-09-11,12
252,Dijon,2022-09-12,7
253,Dijon,2022-09-13,10
254,Dijon,2022-09-14,13
255,Dijon,2022-09-16,10
256,Dijon,2022-09-16,10
257,Dijon,2022-09-18,11
258,Dijon,2022-09-18,11
259,Dijon,2022-09-19,8
260,Dijon,2022-09-21,24
261,Dijon,2022-09-21,24
262,Dijon,2022-09-22,10
263,Dijon,2022-09-24,22
264,Dijon,2022-09-24,22
265,Dijon,2022-09-25,19
266,Dijon,2022-09-26,25
267,Dijon,2022-09-28,14
268,Dijon,2022-09-29,16
269,Dijon,2022-09-29,16
270,Dijon,2022-09-30,18
271,Dijon,2022-10-01,21
272,Dijon,2022-10-02,11
273,Dijon,2022-10-04,9
274,Dijon,2022-10-04,9
275,Dijon,2022-10-05,28
276,Dijon,2022-10-06,28
277,Dijon,2022-10-07,21
278,Dijon,2022-10-08,23
279,Dijon,2022-10-09,19
