,Station,Date,PM 2.5
0,Paris,2023-01-14,34
1,Paris,2023-01-02,54
2,Paris,2023-01-03,36
3,Paris,2023-01-04,50
4,Paris,2023-01-05,29
5,Paris,2023-01-06,23
6,Paris,2023-01-07,35
7,Paris,2023-01-08,43
8,Paris,2023-01-09,34
9,Paris,2023-01-10,31
10,Paris,2023-01-11,44
11,Paris,2023-01-11,44
12,Paris,2023-01-12,20
13,Paris,2023-01-13,31
14,Paris,2023-01-14,34
15,Paris,2023-01-16,29
16,Paris,2023-01-17,26
17,Paris,2023-01-18,57
18,Paris,2023-01-18,57
19,Paris,2023-01-20,54
20,Paris,2023-01-21,55
21,Paris,2023-01-22,71
22,Paris,2023-01-23,72
23,Paris,2023-01-24,71
24,Paris,2023-01-25,72
25,Paris,2023-01-25,72
26,Paris,2023-01-27,94
27,Paris,2023-01-27,94
28,Paris,2023-01-29,66
29,Paris,2023-01-30,82
30,Paris,2023-01-31,56
31,Paris,2023-02-01,59
32,Paris,2023-02-02,46
33,Paris,2023-02-03,38
34,Paris,2023-02-04,29
35,Paris,2023-02-05,49
36,Paris,2023-02-06,42
37,Paris,2023-02-07,58
38,Paris,2023-02-08,66
39,Paris,2023-02-09,81
40,Paris,2023-02-10,137
41,Paris,2023-02-11,120
42,Paris,2023-02-12,77
43,Paris,2023-02-13,33
44,Paris,2023-02-14,83
45,Paris,2023-02-15,129
46,Paris,2023-02-16,150
47,Paris,2023-02-17,81
48,Paris,2023-02-18,41
49,Paris,2023-02-19,31
50,Paris,2023-02-20,42
51,Paris,2023-02-21,74
52,Paris,2023-02-21,74
53,Paris,2023-02-22,113
54,Paris,2023-02-24,61
55,Paris,2023-02-24,61
56,Paris,2023-02-26,45
57,Paris,2023-02-27,46
58,Paris,2023-02-27,46
59,Paris,2023-02-28,46
60,Paris,2023-03-01,65
61,Paris,2023-03-03,104
62,Paris,2023-03-03,104
63,Paris,2023-03-04,99
64,Paris,2023-03-05,74
65,Paris,2023-03-06,60
66,Paris,2023-03-07,64
67,Paris,2023-03-09,39
68,Paris,2023-03-10,40
69,Paris,2023-03-10,40
70,Paris,2023-03-12,53
71,Paris,2023-03-13,48
72,Paris,2023-03-14,41
73,Paris,2023-03-14,41
74,Paris,2023-03-15,29
75,Paris,2023-03-16,34
76,Paris,2023-03-18,59
77,Paris,2023-03-18,59
78,Paris,2023-03-20,22
79,Paris,2023-03-21,42
80,Paris,2023-03-21,42
81,Paris,2023-03-23,43
82,Paris,2023-03-24,48
83,Paris,2023-03-25,52
84,Paris,2023-03-26,32
85,Paris,2023-03-27,32
86,Paris,2023-03-27,32
87,Paris,2023-03-29,53
88,Paris,2023-03-30,55
89,Paris,2023-03-31,40
90,Paris,2023-03-31,40
91,Paris,2023-04-01,39
92,Paris,2023-04-02,27
93,Paris,2023-04-04,49
94,Paris,2023-04-04,49
95,Paris,2023-04-06,67
96,Paris,2023-04-07,51
97,Paris,2023-04-08,42
98,Paris,2023-04-09,54
99,Paris,2023-04-10,65
100,Paris,2023-04-10,65
101,Paris,2023-04-12,35
102,Paris,2023-04-12,35
103,Paris,2023-04-14,34
104,Paris,2023-04-14,34
105,Paris,2023-04-16,38
106,Paris,2023-04-17,49
107,Paris,2023-04-17,49
108,Paris,2023-04-18,69
109,Paris,2023-04-19,93
110,Paris,2023-04-21,56
111,Paris,2023-04-22,61
112,Paris,2023-04-22,61
113,Paris,2023-04-23,66
114,Paris,2023-04-25,43
115,Paris,2023-04-26,49
116,Paris,2023-04-27,59
117,Paris,2023-04-28,53
118,Paris,2023-04-28,53
119,Paris,2023-04-30,56
120,Paris,2023-05-01,66
121,Paris,2023-05-01,66
122,Paris,2023-05-03,54
123,Paris,2023-05-04,56
124,Paris,2023-05-04,56
125,Paris,2023-05-06,42
126,Paris,2023-05-07,54
127,Paris,2023-05-07,54
128,Paris,2023-05-09,45
129,Paris,2023-05-10,34
130,Paris,2023-05-11,41
131,Paris,2023-05-12,44
132,Paris,2023-05-12,44
133,Paris,2023-05-14,69
134,Paris,2023-05-15,72
135,Paris,2023-05-16,63
136,Paris,2023-05-17,38
137,Paris,2023-05-18,47
138,Paris,2023-05-19,50
139,Paris,2023-05-20,59
140,Paris,2023-05-21,66
141,Paris,2023-05-22,64
142,Paris,2023-05-23,67
143,Paris,2023-05-23,67
144,Paris,2023-05-25,57
145,Paris,2023-05-26,67
146,Paris,2023-05-27,66
147,Paris,2023-05-28,68
148,Paris,2023-05-29,95
149,Paris,2023-05-30,73
150,Paris,2023-05-31,78
151,Paris,2023-06-01,53
152,Paris,2023-06-02,67
153,Paris,2023-06-02,67
154,Paris,2023-06-03,60
155,Paris,2023-06-05,58
156,Paris,2023-06-06,67
157,Paris,2023-06-07,88
158,Paris,2023-06-08,74
159,Paris,2023-06-09,80
160,Paris,2023-06-10,98
161,Paris,2023-06-11,73
162,Paris,2023-06-11,73
163,Paris,2023-06-12,86
164,Paris,2023-06-14,71
165,Paris,2023-06-14,71
166,Paris,2023-06-16,69
167,Paris,2023-06-16,69
168,Paris,2023-06-18,77
169,Paris,2023-06-19,72
170,Paris,2023-06-20,74
171,Paris,2023-06-20,74
172,Paris,2023-06-22,57
173,Paris,2023-06-23,70
174,Paris,2023-06-24,61
175,Paris,2023-06-25,61
176,Paris,2023-06-25,61
177,Paris,2023-06-27,48
178,Paris,2023-06-28,57
