,Station,Date,PM 2.5
185,Paris,2021-07-06,36
186,Paris,2021-07-08,30
187,Paris,2021-07-09,26
188,Paris,2021-07-10,37
189,Paris,2021-07-11,36
190,Paris,2021-07-12,24
191,Paris,2021-07-13,47
192,Paris,2021-07-14,54
193,Paris,2021-07-15,38
194,Paris,2021-07-16,41
195,Paris,2021-07-16,41
196,Paris,2021-07-18,66
197,Paris,2021-07-19,45
198,Paris,2021-07-20,54
199,Paris,2021-07-21,65
200,Paris,2021-07-21,65
201,Paris,2021-07-23,60
202,Paris,2021-07-23,60
203,Paris,2021-07-24,62
204,Paris,2021-07-26,43
205,Paris,2021-07-27,41
206,Paris,2021-07-28,56
207,Paris,2021-07-28,56
208,Paris,2021-07-30,27
209,Paris,2021-07-31,42
210,Paris,2021-07-31,42
211,Paris,2021-08-02,26
212,Paris,2021-08-03,30
213,Paris,2021-08-04,30
214,Paris,2021-08-04,30
215,Paris,2021-08-06,44
216,Paris,2021-08-07,21
217,Paris,2021-08-07,21
218,Paris,2021-08-09,27
219,Paris,2021-08-10,34
220,Paris,2021-08-11,35
221,Paris,2021-08-11,35
222,Paris,2021-08-13,55
223,Paris,2021-08-14,40
224,Paris,2021-08-15,45
225,Paris,2021-08-15,45
226,Paris,2021-08-16,56
227,Paris,2021-08-18,47
228,Paris,2021-08-19,30
229,Paris,2021-08-19,30
230,Paris,2021-08-21,42
231,Paris,2021-08-21,42
232,Paris,2021-08-23,33
233,Paris,2021-08-23,33
234,Paris,2021-08-25,51
235,Paris,2021-08-26,48
236,Paris,2021-08-26,48
237,Paris,2021-08-28,43
238,Paris,2021-08-29,37
239,Paris,2021-08-29,37
240,Paris,2021-08-31,51
241,Paris,2021-08-31,51
242,Paris,2021-09-02,62
243,Paris,2021-09-03,66
244,Paris,2021-09-04,68
245,Paris,2021-09-05,71
246,Paris,2021-09-05,71
247,Paris,2021-09-07,63
248,Paris,2021-09-07,63
249,Paris,2021-09-09,65
250,Paris,2021-09-10,53
251,Paris,2021-09-10,53
252,Paris,2021-09-12,30
253,Paris,2021-09-12,30
254,Paris,2021-09-13,44
255,Paris,2021-09-15,55
256,Paris,2021-09-15,55
