,date,PM 2.5,Station
146,2021-05-27,1.19,Bretagne
147,2021-05-28,1.5,Bretagne
148,2021-05-29,2.79,Bretagne
149,2021-05-30,2.58,Bretagne
150,2021-05-31,2.08,Bretagne
151,2021-06-01,3.0,Bretagne
152,2021-06-02,9.65,Bretagne
153,2021-06-03,1.51,Bretagne
154,2021-06-04,6.003981373690338,Bretagne
155,2021-06-05,6.003981373690338,Bretagne
156,2021-06-06,6.003981373690338,Bretagne
157,2021-06-07,6.003981373690338,Bretagne
158,2021-06-08,6.003981373690338,Bretagne
159,2021-06-09,6.003981373690338,Bretagne
160,2021-06-10,1.54,Bretagne
161,2021-06-11,3.0,Bretagne
162,2021-06-12,2.27,Bretagne
163,2021-06-13,2.47,Bretagne
164,2021-06-14,3.79,Bretagne
165,2021-06-15,1.54,Bretagne
166,2021-06-16,6.07,Bretagne
167,2021-06-17,1.92,Bretagne
168,2021-06-18,3.57,Bretagne
169,2021-06-19,4.3,Bretagne
170,2021-06-20,3.25,Bretagne
171,2021-06-21,1.2,Bretagne
172,2021-06-22,5.4,Bretagne
173,2021-06-23,2.67,Bretagne
174,2021-06-24,4.88,Bretagne
175,2021-06-25,2.72,Bretagne
176,2021-06-26,1.75,Bretagne
177,2021-06-27,0.6,Bretagne
178,2021-06-28,1.2,Bretagne
179,2021-06-29,14.52,Bretagne
180,2021-06-30,5.99,Bretagne
181,2021-07-01,11.9,Bretagne
182,2021-07-02,10.18,Bretagne
183,2021-07-03,3.1,Bretagne
184,2021-07-04,2.69,Bretagne
185,2021-07-05,3.15,Bretagne
186,2021-07-06,3.55,Bretagne
187,2021-07-07,5.78,Bretagne
188,2021-07-08,5.25,Bretagne
189,2021-07-09,1.6,Bretagne
190,2021-07-10,3.89,Bretagne
191,2021-07-11,6.28,Bretagne
192,2021-07-12,3.53,Bretagne
193,2021-07-13,8.25,Bretagne
194,2021-07-14,5.47,Bretagne
195,2021-07-15,4.8,Bretagne
196,2021-07-16,5.88,Bretagne
