,date,PM 2.5,Station
146,2021-05-27,6.37,Occitanie
147,2021-05-28,4.5,Occitanie
148,2021-05-29,5.03,Occitanie
149,2021-05-30,3.3,Occitanie
150,2021-05-31,2.72,Occitanie
151,2021-06-01,4.08,Occitanie
152,2021-06-02,3.87,Occitanie
153,2021-06-03,3.83,Occitanie
154,2021-06-04,2.85,Occitanie
155,2021-06-05,3.05,Occitanie
156,2021-06-06,1.7,Occitanie
157,2021-06-07,2.17,Occitanie
158,2021-06-08,1.8,Occitanie
159,2021-06-09,3.8,Occitanie
160,2021-06-10,2.85,Occitanie
161,2021-06-11,3.8,Occitanie
162,2021-06-12,9.65,Occitanie
163,2021-06-13,7.87,Occitanie
164,2021-06-14,3.8,Occitanie
165,2021-06-15,3.49,Occitanie
166,2021-06-16,4.9,Occitanie
167,2021-06-17,5.83,Occitanie
168,2021-06-18,5.33,Occitanie
169,2021-06-19,10.58,Occitanie
170,2021-06-20,5.03,Occitanie
171,2021-06-21,2.47,Occitanie
172,2021-06-22,1.3,Occitanie
173,2021-06-23,2.8,Occitanie
174,2021-06-24,2.87,Occitanie
175,2021-06-25,4.88,Occitanie
176,2021-06-26,3.2,Occitanie
177,2021-06-27,8.43,Occitanie
178,2021-06-28,2.44,Occitanie
179,2021-06-29,4.22,Occitanie
180,2021-06-30,4.51,Occitanie
181,2021-07-01,2.84,Occitanie
182,2021-07-02,4.0,Occitanie
183,2021-07-03,4.53,Occitanie
184,2021-07-04,3.53,Occitanie
185,2021-07-05,2.91,Occitanie
186,2021-07-06,1.87,Occitanie
187,2021-07-07,2.58,Occitanie
188,2021-07-08,2.4,Occitanie
189,2021-07-09,3.07,Occitanie
190,2021-07-10,4.37,Occitanie
191,2021-07-11,3.8,Occitanie
192,2021-07-12,3.59,Occitanie
193,2021-07-13,3.33,Occitanie
194,2021-07-14,3.91,Occitanie
195,2021-07-15,5.24,Occitanie
196,2021-07-16,3.3,Occitanie
197,2021-07-17,3.9,Occitanie
198,2021-07-18,6.3,Occitanie
199,2021-07-19,14.38,Occitanie
200,2021-07-20,9.32,Occitanie
201,2021-07-21,16.6,Occitanie
202,2021-07-22,10.9,Occitanie
203,2021-07-23,6.37,Occitanie
204,2021-07-24,2.92,Occitanie
205,2021-07-25,3.3,Occitanie
206,2021-07-26,6.55,Occitanie
207,2021-07-27,6.97,Occitanie
208,2021-07-28,5.72,Occitanie
209,2021-07-29,5.29,Occitanie
210,2021-07-30,5.52,Occitanie
211,2021-07-31,3.59,Occitanie
212,2021-08-01,1.98,Occitanie
213,2021-08-02,2.38,Occitanie
214,2021-08-03,3.27,Occitanie
215,2021-08-04,3.0,Occitanie
216,2021-08-05,2.13,Occitanie
217,2021-08-06,3.5,Occitanie
218,2021-08-07,3.57,Occitanie
219,2021-08-08,2.16,Occitanie
220,2021-08-09,2.25,Occitanie
221,2021-08-10,3.11,Occitanie
222,2021-08-11,4.59,Occitanie
223,2021-08-12,6.46,Occitanie
224,2021-08-13,8.58,Occitanie
225,2021-08-14,12.42,Occitanie
226,2021-08-15,9.19,Occitanie
227,2021-08-16,3.1,Occitanie
228,2021-08-17,3.8,Occitanie
229,2021-08-18,5.97,Occitanie
230,2021-08-19,4.45,Occitanie
231,2021-08-20,4.0,Occitanie
232,2021-08-21,5.72,Occitanie
233,2021-08-22,3.45,Occitanie
234,2021-08-23,2.0,Occitanie
235,2021-08-24,2.4,Occitanie
236,2021-08-25,3.37,Occitanie
237,2021-08-26,3.25,Occitanie
238,2021-08-27,4.83,Occitanie
239,2021-08-28,3.2,Occitanie
240,2021-08-29,1.8,Occitanie
241,2021-08-30,2.29,Occitanie
242,2021-08-31,2.46,Occitanie
243,2021-09-01,3.55,Occitanie
244,2021-09-02,4.09,Occitanie
245,2021-09-03,3.27,Occitanie
246,2021-09-04,5.6,Occitanie
247,2021-09-05,4.5,Occitanie
248,2021-09-06,5.08,Occitanie
249,2021-09-07,4.9,Occitanie
250,2021-09-08,5.97,Occitanie
251,2021-09-09,6.04,Occitanie
252,2021-09-10,3.22,Occitanie
253,2021-09-11,3.7,Occitanie
254,2021-09-12,3.83,Occitanie
255,2021-09-13,4.83,Occitanie
256,2021-09-14,8.43,Occitanie
257,2021-09-15,2.45,Occitanie
258,2021-09-16,3.8,Occitanie
259,2021-09-17,4.55,Occitanie
260,2021-09-18,1.7,Occitanie
261,2021-09-19,1.51,Occitanie
262,2021-09-20,1.6,Occitanie
263,2021-09-21,3.4,Occitanie
264,2021-09-22,3.9,Occitanie
265,2021-09-23,5.23,Occitanie
266,2021-09-24,3.3,Occitanie
267,2021-09-25,5.58,Occitanie
268,2021-09-26,6.8,Occitanie
269,2021-09-27,2.29,Occitanie
270,2021-09-28,1.87,Occitanie
271,2021-09-29,2.02,Occitanie
272,2021-09-30,1.82,Occitanie
273,2021-10-01,2.29,Occitanie
274,2021-10-02,3.47,Occitanie
275,2021-10-03,3.98,Occitanie
276,2021-10-04,1.7,Occitanie
277,2021-10-05,2.6,Occitanie
278,2021-10-06,2.62,Occitanie
279,2021-10-07,2.8,Occitanie
280,2021-10-08,2.35,Occitanie
281,2021-10-09,5.4,Occitanie
282,2021-10-10,7.87,Occitanie
283,2021-10-11,10.85,Occitanie
284,2021-10-12,9.07,Occitanie
285,2021-10-13,6.83,Occitanie
286,2021-10-14,4.45,Occitanie
287,2021-10-15,6.05,Occitanie
288,2021-10-16,6.5,Occitanie
289,2021-10-17,8.9,Occitanie
290,2021-10-18,8.58,Occitanie
291,2021-10-19,8.3,Occitanie
292,2021-10-20,11.7,Occitanie
293,2021-10-21,7.08,Occitanie
294,2021-10-22,1.74,Occitanie
295,2021-10-23,3.65,Occitanie
296,2021-10-24,9.03,Occitanie
297,2021-10-25,5.53,Occitanie
298,2021-10-26,5.59,Occitanie
299,2021-10-27,9.65,Occitanie
300,2021-10-28,4.84,Occitanie
301,2021-10-29,4.87,Occitanie
302,2021-10-30,3.99,Occitanie
303,2021-10-31,4.72,Occitanie
304,2021-11-01,1.4,Occitanie
305,2021-11-02,1.17,Occitanie
306,2021-11-03,0.9,Occitanie
307,2021-11-04,2.1,Occitanie
308,2021-11-05,11.74,Occitanie
309,2021-11-06,8.94,Occitanie
310,2021-11-07,5.49,Occitanie
311,2021-11-08,3.05,Occitanie
