,Station,Date,PM 2.5
174,Dijon,2021-06-27,20
175,Dijon,2021-06-28,22
176,Dijon,2021-06-29,10
177,Dijon,2021-06-30,10
178,Dijon,2021-07-01,5
179,Dijon,2021-07-02,22
180,Dijon,2021-07-03,24
181,Dijon,2021-07-04,27
182,Dijon,2021-07-05,9
183,Dijon,2021-07-06,12
184,Dijon,2021-07-07,11
185,Dijon,2021-07-08,30
186,Dijon,2021-07-09,15
187,Dijon,2021-07-10,9
188,Dijon,2021-07-11,19
189,Dijon,2021-07-12,12
190,Dijon,2021-07-13,15
191,Dijon,2021-07-14,11
192,Dijon,2021-07-15,24
193,Dijon,2021-07-16,14
194,Dijon,2021-07-17,7
195,Dijon,2021-07-19,32
196,Dijon,2021-07-20,21
197,Dijon,2021-07-21,48
198,Dijon,2021-07-21,48
199,Dijon,2021-07-23,58
200,Dijon,2021-07-23,58
201,Dijon,2021-07-25,17
202,Dijon,2021-07-25,17
203,Dijon,2021-07-26,12
204,Dijon,2021-07-27,12
205,Dijon,2021-07-28,29
206,Dijon,2021-07-29,21
207,Dijon,2021-07-30,7
208,Dijon,2021-07-31,20
209,Dijon,2021-08-01,9
210,Dijon,2021-08-02,9
211,Dijon,2021-08-03,8
212,Dijon,2021-08-04,6
213,Dijon,2021-08-05,12
214,Dijon,2021-08-07,8
215,Dijon,2021-08-08,10
216,Dijon,2021-08-08,10
217,Dijon,2021-08-09,8
218,Dijon,2021-08-11,18
219,Dijon,2021-08-11,18
220,Dijon,2021-08-12,28
221,Dijon,2021-08-13,25
222,Dijon,2021-08-14,30
223,Dijon,2021-08-15,43
224,Dijon,2021-08-16,29
225,Dijon,2021-08-17,14
226,Dijon,2021-08-18,57
227,Dijon,2021-08-19,16
228,Dijon,2021-08-20,10
229,Dijon,2021-08-21,14
230,Dijon,2021-08-22,21
231,Dijon,2021-08-25,16
232,Dijon,2021-08-25,16
233,Dijon,2021-08-26,16
234,Dijon,2021-08-27,21
235,Dijon,2021-08-29,16
236,Dijon,2021-08-29,16
237,Dijon,2021-08-30,13
238,Dijon,2021-08-31,12
239,Dijon,2021-09-01,26
240,Dijon,2021-09-02,23
241,Dijon,2021-09-04,27
242,Dijon,2021-09-04,27
243,Dijon,2021-09-05,26
244,Dijon,2021-09-06,23
245,Dijon,2021-09-07,31
246,Dijon,2021-09-08,29
247,Dijon,2021-09-09,36
248,Dijon,2021-09-10,32
249,Dijon,2021-09-11,26
250,Dijon,2021-09-12,12
251,Dijon,2021-09-13,14
252,Dijon,2021-09-14,19
253,Dijon,2021-09-16,7
254,Dijon,2021-09-17,16
255,Dijon,2021-09-18,16
256,Dijon,2021-09-19,17
257,Dijon,2021-09-19,17
258,Dijon,2021-09-20,8
259,Dijon,2021-09-22,20
260,Dijon,2021-09-23,31
261,Dijon,2021-09-23,31
262,Dijon,2021-09-24,32
263,Dijon,2021-09-26,50
264,Dijon,2021-09-26,50
265,Dijon,2021-09-27,24
266,Dijon,2021-09-28,13
267,Dijon,2021-09-29,11
268,Dijon,2021-09-30,11
269,Dijon,2021-10-01,15
270,Dijon,2021-10-02,19
271,Dijon,2021-10-03,23
272,Dijon,2021-10-04,27
273,Dijon,2021-10-05,6
274,Dijon,2021-10-06,18
275,Dijon,2021-10-07,27
276,Dijon,2021-10-08,14
277,Dijon,2021-10-09,20
278,Dijon,2021-10-10,45
279,Dijon,2021-10-11,43
280,Dijon,2021-10-13,26
281,Dijon,2021-10-14,19
282,Dijon,2021-10-14,19
283,Dijon,2021-10-15,9
284,Dijon,2021-10-16,43
285,Dijon,2021-10-17,26
286,Dijon,2021-10-18,33
287,Dijon,2021-10-20,32
288,Dijon,2021-10-20,32
289,Dijon,2021-10-21,26
290,Dijon,2021-10-22,9
291,Dijon,2021-10-23,14
292,Dijon,2021-10-24,20
293,Dijon,2021-10-25,33
294,Dijon,2021-10-26,43
295,Dijon,2021-10-27,28
296,Dijon,2021-10-28,19
297,Dijon,2021-10-29,39
298,Dijon,2021-10-30,41
299,Dijon,2021-10-31,18
300,Dijon,2021-11-01,10
301,Dijon,2021-11-02,9
302,Dijon,2021-11-03,18
303,Dijon,2021-11-04,11
304,Dijon,2021-11-05,23
305,Dijon,2021-11-06,20
306,Dijon,2021-11-07,57
307,Dijon,2021-11-08,39
308,Dijon,2021-11-09,28
309,Dijon,2021-11-10,7
310,Dijon,2021-11-12,61
311,Dijon,2021-11-12,61
312,Dijon,2021-11-13,42
313,Dijon,2021-11-14,44
314,Dijon,2021-11-15,16
315,Dijon,2021-11-16,44
316,Dijon,2021-11-17,25
317,Dijon,2021-11-18,25
318,Dijon,2021-11-19,35
319,Dijon,2021-11-20,40
320,Dijon,2021-11-21,48
321,Dijon,2021-11-22,17
322,Dijon,2021-11-23,24
323,Dijon,2021-11-27,62
324,Dijon,2021-11-27,62
325,Dijon,2021-11-28,34
326,Dijon,2021-11-29,37
327,Dijon,2021-12-01,38
328,Dijon,2021-12-02,42
329,Dijon,2021-12-03,30
330,Dijon,2021-12-03,30
331,Dijon,2021-12-04,41
332,Dijon,2021-12-05,30
333,Dijon,2021-12-06,28
334,Dijon,2021-12-07,27
335,Dijon,2021-12-08,33
336,Dijon,2021-12-09,40
337,Dijon,2021-12-10,33
338,Dijon,2021-12-11,27
339,Dijon,2021-12-12,43
340,Dijon,2021-12-13,60
341,Dijon,2021-12-14,40
342,Dijon,2021-12-16,37
343,Dijon,2021-12-16,37
344,Dijon,2021-12-17,45
345,Dijon,2021-12-18,49
346,Dijon,2021-12-19,63
347,Dijon,2021-12-20,46
348,Dijon,2021-12-21,43
349,Dijon,2021-12-22,61
350,Dijon,2021-12-23,80
351,Dijon,2021-12-24,63
352,Dijon,2021-12-25,61
353,Dijon,2021-12-26,61
354,Dijon,2021-12-27,55
355,Dijon,2021-12-28,46
356,Dijon,2021-12-29,34
357,Dijon,2021-12-30,27
