,date,PM 2.5,Station
177,2021-06-27,32.0,Normandie
178,2021-06-28,27.0,Normandie
179,2021-06-29,37.0,Normandie
180,2021-06-30,32.0,Normandie
181,2021-07-01,60.0,Normandie
182,2021-07-02,59.0,Normandie
183,2021-07-03,40.0,Normandie
184,2021-07-04,15.0,Normandie
185,2021-07-05,16.0,Normandie
186,2021-07-06,17.0,Normandie
187,2021-07-07,23.0,Normandie
188,2021-07-08,29.0,Normandie
189,2021-07-09,32.0,Normandie
190,2021-07-10,23.0,Normandie
191,2021-07-11,28.0,Normandie
192,2021-07-12,24.0,Normandie
193,2021-07-13,48.0,Normandie
194,2021-07-14,43.0,Normandie
195,2021-07-15,37.0,Normandie
196,2021-07-16,34.0,Normandie
197,2021-07-17,48.0,Normandie
198,2021-07-18,23.0,Normandie
199,2021-07-19,39.0,Normandie
200,2021-07-20,47.0,Normandie
201,2021-07-21,55.0,Normandie
202,2021-07-22,53.0,Normandie
203,2021-07-23,51.0,Normandie
204,2021-07-24,34.0,Normandie
205,2021-07-25,22.0,Normandie
206,2021-07-26,57.0,Normandie
207,2021-07-27,44.0,Normandie
208,2021-07-28,27.0,Normandie
209,2021-07-29,30.0,Normandie
210,2021-07-30,25.0,Normandie
211,2021-07-31,28.0,Normandie
212,2021-08-01,19.0,Normandie
213,2021-08-02,31.0,Normandie
214,2021-08-03,30.0,Normandie
215,2021-08-04,35.0,Normandie
216,2021-08-05,27.0,Normandie
217,2021-08-06,14.0,Normandie
218,2021-08-07,16.0,Normandie
219,2021-08-08,26.0,Normandie
220,2021-08-09,17.0,Normandie
221,2021-08-10,21.0,Normandie
222,2021-08-11,30.0,Normandie
223,2021-08-12,28.0,Normandie
224,2021-08-13,31.0,Normandie
225,2021-08-14,35.0,Normandie
226,2021-08-15,36.0,Normandie
227,2021-08-16,41.0,Normandie
228,2021-08-17,37.0,Normandie
229,2021-08-18,36.0,Normandie
230,2021-08-19,14.0,Normandie
231,2021-08-20,22.0,Normandie
232,2021-08-21,27.0,Normandie
233,2021-08-22,28.0,Normandie
234,2021-08-23,35.0,Normandie
235,2021-08-24,36.0,Normandie
236,2021-08-25,41.0,Normandie
237,2021-08-26,27.0,Normandie
238,2021-08-27,31.0,Normandie
239,2021-08-28,30.0,Normandie
240,2021-08-29,27.0,Normandie
241,2021-08-30,32.0,Normandie
242,2021-08-31,40.0,Normandie
243,2021-09-01,47.0,Normandie
244,2021-09-02,57.0,Normandie
245,2021-09-03,69.0,Normandie
246,2021-09-04,69.0,Normandie
247,2021-09-05,54.0,Normandie
248,2021-09-06,52.0,Normandie
249,2021-09-07,51.0,Normandie
250,2021-09-08,55.0,Normandie
251,2021-09-09,42.0,Normandie
252,2021-09-10,25.0,Normandie
253,2021-09-11,22.0,Normandie
254,2021-09-12,32.0,Normandie
255,2021-09-13,39.0,Normandie
256,2021-09-14,36.0,Normandie
257,2021-09-15,45.0,Normandie
258,2021-09-16,52.0,Normandie
259,2021-09-17,42.0,Normandie
260,2021-09-18,35.0,Normandie
261,2021-09-19,35.0,Normandie
262,2021-09-20,43.0,Normandie
263,2021-09-21,47.0,Normandie
264,2021-09-22,51.0,Normandie
265,2021-09-23,53.0,Normandie
266,2021-09-24,30.0,Normandie
267,2021-09-25,45.0,Normandie
268,2021-09-26,46.0,Normandie
269,2021-09-27,25.0,Normandie
270,2021-09-28,27.0,Normandie
271,2021-09-29,17.0,Normandie
272,2021-09-30,22.0,Normandie
273,2021-10-01,23.0,Normandie
274,2021-10-02,26.0,Normandie
275,2021-10-03,13.0,Normandie
276,2021-10-04,18.0,Normandie
277,2021-10-05,19.0,Normandie
278,2021-10-06,25.0,Normandie
279,2021-10-07,42.0,Normandie
280,2021-10-08,42.0,Normandie
281,2021-10-09,67.0,Normandie
282,2021-10-10,83.0,Normandie
283,2021-10-11,58.0,Normandie
284,2021-10-12,49.0,Normandie
285,2021-10-13,42.0,Normandie
286,2021-10-14,50.0,Normandie
287,2021-10-15,58.0,Normandie
288,2021-10-16,48.0,Normandie
289,2021-10-17,46.0,Normandie
290,2021-10-18,62.0,Normandie
291,2021-10-19,42.0,Normandie
292,2021-10-20,36.0,Normandie
293,2021-10-21,24.0,Normandie
294,2021-10-22,44.0,Normandie
295,2021-10-23,39.0,Normandie
296,2021-10-24,52.0,Normandie
297,2021-10-25,31.0,Normandie
298,2021-10-26,36.0,Normandie
299,2021-10-27,41.0,Normandie
300,2021-10-28,48.0,Normandie
301,2021-10-29,38.0,Normandie
302,2021-10-30,31.0,Normandie
303,2021-10-31,24.0,Normandie
304,2021-11-01,21.0,Normandie
305,2021-11-02,22.0,Normandie
306,2021-11-03,49.0,Normandie
307,2021-11-04,34.0,Normandie
308,2021-11-05,31.0,Normandie
309,2021-11-06,61.0,Normandie
310,2021-11-07,39.0,Normandie
311,2021-11-08,67.0,Normandie
312,2021-11-09,73.0,Normandie
313,2021-11-10,80.0,Normandie
314,2021-11-11,79.0,Normandie
315,2021-11-12,82.0,Normandie
316,2021-11-13,27.0,Normandie
317,2021-11-14,39.0,Normandie
318,2021-11-15,74.0,Normandie
319,2021-11-16,98.0,Normandie
320,2021-11-17,67.0,Normandie
321,2021-11-18,67.0,Normandie
322,2021-11-19,43.0,Normandie
323,2021-11-20,55.0,Normandie
324,2021-11-21,43.0,Normandie
325,2021-11-22,26.0,Normandie
326,2021-11-23,37.0,Normandie
327,2021-11-24,66.0,Normandie
328,2021-11-25,86.0,Normandie
329,2021-11-26,48.0,Normandie
330,2021-11-27,26.0,Normandie
331,2021-11-28,31.0,Normandie
332,2021-11-29,59.0,Normandie
333,2021-11-30,32.0,Normandie
334,2021-12-01,22.0,Normandie
335,2021-12-02,28.0,Normandie
336,2021-12-03,43.0,Normandie
337,2021-12-04,37.0,Normandie
338,2021-12-05,21.0,Normandie
339,2021-12-06,38.0,Normandie
340,2021-12-07,40.0,Normandie
341,2021-12-08,24.0,Normandie
342,2021-12-09,32.0,Normandie
343,2021-12-10,27.0,Normandie
344,2021-12-11,52.0,Normandie
345,2021-12-12,36.0,Normandie
346,2021-12-13,37.0,Normandie
347,2021-12-14,57.0,Normandie
348,2021-12-15,60.0,Normandie
349,2021-12-16,76.0,Normandie
350,2021-12-17,87.0,Normandie
351,2021-12-18,88.0,Normandie
352,2021-12-19,55.0,Normandie
353,2021-12-20,58.0,Normandie
354,2021-12-21,72.0,Normandie
355,2021-12-22,98.0,Normandie
356,2021-12-23,92.0,Normandie
357,2021-12-24,64.0,Normandie
358,2021-12-25,50.0,Normandie
359,2021-12-26,46.0,Normandie
360,2021-12-27,42.0,Normandie
361,2021-12-28,38.0,Normandie
362,2021-12-29,32.0,Normandie
363,2021-12-30,22.0,Normandie
364,2021-12-31,33.0,Normandie
365,2022-01-01,52.0,Normandie
366,2022-01-02,32.0,Normandie
367,2022-01-03,33.0,Normandie
368,2022-01-04,19.0,Normandie
369,2022-01-05,35.0,Normandie
370,2022-01-06,72.0,Normandie
371,2022-01-07,24.0,Normandie
372,2022-01-08,22.0,Normandie
373,2022-01-09,36.0,Normandie
374,2022-01-10,73.0,Normandie
375,2022-01-11,62.0,Normandie
376,2022-01-12,77.0,Normandie
377,2022-01-13,55.0,Normandie
378,2022-01-14,73.0,Normandie
379,2022-01-15,100.0,Normandie
380,2022-01-16,77.0,Normandie
381,2022-01-17,64.0,Normandie
382,2022-01-18,63.0,Normandie
383,2022-01-19,76.0,Normandie
384,2022-01-20,41.0,Normandie
385,2022-01-21,44.0,Normandie
386,2022-01-22,56.0,Normandie
387,2022-01-23,56.0,Normandie
388,2022-01-24,78.0,Normandie
