Date,Mesure,Région
2021-01-01,4.5,Auvergne-Rhône-Alpes
2021-01-02,7.17,Auvergne-Rhône-Alpes
2021-01-03,5.93,Auvergne-Rhône-Alpes
2021-01-04,11.13,Auvergne-Rhône-Alpes
2021-01-05,15.79,Auvergne-Rhône-Alpes
2021-01-06,13.4,Auvergne-Rhône-Alpes
2021-01-07,9.47,Auvergne-Rhône-Alpes
2021-01-08,7.77,Auvergne-Rhône-Alpes
2021-01-09,8.11,Auvergne-Rhône-Alpes
2021-01-10,6.87,Auvergne-Rhône-Alpes
2021-01-11,9.5,Auvergne-Rhône-Alpes
2021-01-12,16.13,Auvergne-Rhône-Alpes
2021-01-13,8.36,Auvergne-Rhône-Alpes
2021-01-14,2.6,Auvergne-Rhône-Alpes
2021-01-15,1.53,Auvergne-Rhône-Alpes
2021-01-16,6.47,Auvergne-Rhône-Alpes
2021-01-17,6.3,Auvergne-Rhône-Alpes
2021-01-18,6.07,Auvergne-Rhône-Alpes
2021-01-19,7.68,Auvergne-Rhône-Alpes
2021-01-20,1.5,Auvergne-Rhône-Alpes
2021-01-21,1.47,Auvergne-Rhône-Alpes
2021-01-22,1.72,Auvergne-Rhône-Alpes
2021-01-23,1.5,Auvergne-Rhône-Alpes
2021-01-24,1.2,Auvergne-Rhône-Alpes
2021-01-25,1.5,Auvergne-Rhône-Alpes
2021-01-26,3.7,Auvergne-Rhône-Alpes
2021-01-27,6.5,Auvergne-Rhône-Alpes
2021-01-28,8.59,Auvergne-Rhône-Alpes
2021-01-29,2.2,Auvergne-Rhône-Alpes
2021-01-30,3.87,Auvergne-Rhône-Alpes
2021-01-31,9.86,Auvergne-Rhône-Alpes
2021-02-01,2.2,Auvergne-Rhône-Alpes
2021-02-02,3.47,Auvergne-Rhône-Alpes
2021-02-03,1.82,Auvergne-Rhône-Alpes
2021-02-04,7.17,Auvergne-Rhône-Alpes
2021-02-05,8.77,Auvergne-Rhône-Alpes
2021-02-06,6.6,Auvergne-Rhône-Alpes
2021-02-07,1.12,Auvergne-Rhône-Alpes
2021-02-08,3.67,Auvergne-Rhône-Alpes
2021-02-09,3.47,Auvergne-Rhône-Alpes
2021-02-10,10.68,Auvergne-Rhône-Alpes
2021-02-11,13.57,Auvergne-Rhône-Alpes
