,date,PM 2.5,Station
146,2021-05-27,1.35,Grand Est
147,2021-05-28,1.49,Grand Est
148,2021-05-29,1.0,Grand Est
149,2021-05-30,1.62,Grand Est
150,2021-05-31,1.52,Grand Est
151,2021-06-01,1.83,Grand Est
152,2021-06-02,2.29,Grand Est
153,2021-06-03,2.5,Grand Est
154,2021-06-04,2.35,Grand Est
155,2021-06-05,1.8,Grand Est
156,2021-06-06,8.13,Grand Est
157,2021-06-07,18.54,Grand Est
158,2021-06-08,18.85,Grand Est
159,2021-06-09,13.5,Grand Est
160,2021-06-10,9.5,Grand Est
161,2021-06-11,8.27,Grand Est
162,2021-06-12,2.72,Grand Est
163,2021-06-13,1.75,Grand Est
164,2021-06-14,2.17,Grand Est
165,2021-06-15,2.4,Grand Est
166,2021-06-16,2.8,Grand Est
167,2021-06-17,4.78,Grand Est
168,2021-06-18,4.47,Grand Est
169,2021-06-19,3.99,Grand Est
170,2021-06-20,2.15,Grand Est
171,2021-06-21,1.3,Grand Est
172,2021-06-22,2.38,Grand Est
173,2021-06-23,6.23,Grand Est
174,2021-06-24,2.0,Grand Est
175,2021-06-25,7.13,Grand Est
176,2021-06-26,6.43,Grand Est
177,2021-06-27,5.15,Grand Est
178,2021-06-28,2.08,Grand Est
179,2021-06-29,1.15,Grand Est
180,2021-06-30,0.6,Grand Est
181,2021-07-01,3.3,Grand Est
182,2021-07-02,5.05,Grand Est
183,2021-07-03,4.75,Grand Est
184,2021-07-04,4.63,Grand Est
185,2021-07-05,1.2,Grand Est
186,2021-07-06,1.42,Grand Est
187,2021-07-07,1.2,Grand Est
188,2021-07-08,2.08,Grand Est
189,2021-07-09,1.88,Grand Est
190,2021-07-10,2.0,Grand Est
191,2021-07-11,1.88,Grand Est
192,2021-07-12,3.17,Grand Est
193,2021-07-13,2.15,Grand Est
194,2021-07-14,1.85,Grand Est
195,2021-07-15,0.8,Grand Est
196,2021-07-16,3.18,Grand Est
197,2021-07-17,4.674106951871658,Grand Est
198,2021-07-18,4.674106951871658,Grand Est
199,2021-07-19,4.674106951871658,Grand Est
200,2021-07-20,4.674106951871658,Grand Est
201,2021-07-21,4.674106951871658,Grand Est
202,2021-07-22,4.674106951871658,Grand Est
203,2021-07-23,4.674106951871658,Grand Est
204,2021-07-24,4.674106951871658,Grand Est
205,2021-07-25,4.674106951871658,Grand Est
206,2021-07-26,4.674106951871658,Grand Est
207,2021-07-27,4.674106951871658,Grand Est
208,2021-07-28,4.674106951871658,Grand Est
209,2021-07-29,4.674106951871658,Grand Est
210,2021-07-30,4.674106951871658,Grand Est
211,2021-07-31,4.674106951871658,Grand Est
212,2021-08-01,4.674106951871658,Grand Est
213,2021-08-02,4.674106951871658,Grand Est
214,2021-08-03,4.674106951871658,Grand Est
215,2021-08-04,4.674106951871658,Grand Est
216,2021-08-05,4.674106951871658,Grand Est
217,2021-08-06,4.674106951871658,Grand Est
218,2021-08-07,4.674106951871658,Grand Est
219,2021-08-08,1.15,Grand Est
220,2021-08-09,1.1,Grand Est
221,2021-08-10,2.17,Grand Est
222,2021-08-11,3.78,Grand Est
223,2021-08-12,5.88,Grand Est
224,2021-08-13,5.15,Grand Est
225,2021-08-14,6.0,Grand Est
226,2021-08-15,6.25,Grand Est
227,2021-08-16,2.7,Grand Est
228,2021-08-17,6.47,Grand Est
229,2021-08-18,1.0,Grand Est
230,2021-08-19,1.21,Grand Est
231,2021-08-20,2.72,Grand Est
232,2021-08-21,3.88,Grand Est
233,2021-08-22,2.88,Grand Est
234,2021-08-23,2.5,Grand Est
235,2021-08-24,3.97,Grand Est
236,2021-08-25,5.13,Grand Est
237,2021-08-26,2.72,Grand Est
238,2021-08-27,1.92,Grand Est
239,2021-08-28,3.78,Grand Est
240,2021-08-29,5.15,Grand Est
241,2021-08-30,7.47,Grand Est
242,2021-08-31,5.89,Grand Est
243,2021-09-01,5.95,Grand Est
244,2021-09-02,4.84,Grand Est
245,2021-09-03,6.47,Grand Est
246,2021-09-04,6.75,Grand Est
247,2021-09-05,6.95,Grand Est
248,2021-09-06,6.25,Grand Est
249,2021-09-07,7.15,Grand Est
250,2021-09-08,7.68,Grand Est
251,2021-09-09,5.6,Grand Est
252,2021-09-10,6.4,Grand Est
253,2021-09-11,3.6,Grand Est
254,2021-09-12,2.75,Grand Est
255,2021-09-13,3.17,Grand Est
256,2021-09-14,5.97,Grand Est
257,2021-09-15,3.84,Grand Est
258,2021-09-16,5.74,Grand Est
259,2021-09-17,5.78,Grand Est
260,2021-09-18,5.89,Grand Est
261,2021-09-19,5.09,Grand Est
262,2021-09-20,3.53,Grand Est
263,2021-09-21,5.46,Grand Est
264,2021-09-22,4.78,Grand Est
265,2021-09-23,5.53,Grand Est
266,2021-09-24,7.53,Grand Est
267,2021-09-25,7.1,Grand Est
268,2021-09-26,8.07,Grand Est
269,2021-09-27,2.54,Grand Est
270,2021-09-28,1.63,Grand Est
271,2021-09-29,0.9,Grand Est
272,2021-09-30,1.05,Grand Est
273,2021-10-01,2.22,Grand Est
274,2021-10-02,4.69,Grand Est
275,2021-10-03,4.09,Grand Est
276,2021-10-04,1.6,Grand Est
277,2021-10-05,1.14,Grand Est
278,2021-10-06,1.0,Grand Est
279,2021-10-07,4.09,Grand Est
280,2021-10-08,5.07,Grand Est
281,2021-10-09,11.2,Grand Est
282,2021-10-10,9.94,Grand Est
283,2021-10-11,16.27,Grand Est
284,2021-10-12,8.75,Grand Est
285,2021-10-13,5.95,Grand Est
286,2021-10-14,5.45,Grand Est
287,2021-10-15,6.55,Grand Est
288,2021-10-16,20.52,Grand Est
289,2021-10-17,15.6,Grand Est
290,2021-10-18,20.05,Grand Est
291,2021-10-19,6.47,Grand Est
292,2021-10-20,3.47,Grand Est
293,2021-10-21,0.93,Grand Est
294,2021-10-22,2.27,Grand Est
295,2021-10-23,2.85,Grand Est
296,2021-10-24,6.8,Grand Est
297,2021-10-25,8.19,Grand Est
298,2021-10-26,8.36,Grand Est
299,2021-10-27,7.46,Grand Est
300,2021-10-28,11.9,Grand Est
301,2021-10-29,15.5,Grand Est
302,2021-10-30,15.85,Grand Est
303,2021-10-31,4.15,Grand Est
304,2021-11-01,1.0,Grand Est
305,2021-11-02,1.4,Grand Est
306,2021-11-03,2.29,Grand Est
307,2021-11-04,3.3,Grand Est
308,2021-11-05,9.72,Grand Est
309,2021-11-06,12.7,Grand Est
310,2021-11-07,7.85,Grand Est
311,2021-11-08,4.25,Grand Est
312,2021-11-09,6.55,Grand Est
313,2021-11-10,13.33,Grand Est
314,2021-11-11,24.08,Grand Est
315,2021-11-12,15.55,Grand Est
316,2021-11-13,15.25,Grand Est
317,2021-11-14,13.04,Grand Est
318,2021-11-15,7.9,Grand Est
319,2021-11-16,14.8,Grand Est
320,2021-11-17,3.35,Grand Est
321,2021-11-18,6.72,Grand Est
322,2021-11-19,11.6,Grand Est
323,2021-11-20,12.35,Grand Est
324,2021-11-21,11.32,Grand Est
325,2021-11-22,2.84,Grand Est
326,2021-11-23,2.91,Grand Est
327,2021-11-24,9.07,Grand Est
328,2021-11-25,16.98,Grand Est
329,2021-11-26,18.55,Grand Est
330,2021-11-27,1.75,Grand Est
331,2021-11-28,4.68,Grand Est
332,2021-11-29,4.88,Grand Est
333,2021-11-30,1.27,Grand Est
334,2021-12-01,0.6,Grand Est
335,2021-12-02,1.0,Grand Est
336,2021-12-03,4.84,Grand Est
337,2021-12-04,1.05,Grand Est
338,2021-12-05,1.2,Grand Est
339,2021-12-06,6.65,Grand Est
340,2021-12-07,1.77,Grand Est
341,2021-12-08,5.3,Grand Est
342,2021-12-09,2.54,Grand Est
343,2021-12-10,2.35,Grand Est
344,2021-12-11,5.09,Grand Est
345,2021-12-12,5.15,Grand Est
346,2021-12-13,10.69,Grand Est
347,2021-12-14,14.3,Grand Est
348,2021-12-15,15.21,Grand Est
349,2021-12-16,9.05,Grand Est
350,2021-12-17,10.84,Grand Est
351,2021-12-18,13.03,Grand Est
352,2021-12-19,11.57,Grand Est
353,2021-12-20,13.23,Grand Est
354,2021-12-21,6.63,Grand Est
355,2021-12-22,17.42,Grand Est
356,2021-12-23,11.0,Grand Est
357,2021-12-24,5.38,Grand Est
358,2021-12-25,4.674106951871658,Grand Est
359,2021-12-26,4.674106951871658,Grand Est
360,2021-12-27,4.674106951871658,Grand Est
361,2021-12-28,0.6,Grand Est
362,2021-12-29,4.674106951871658,Grand Est
363,2021-12-30,4.674106951871658,Grand Est
364,2021-12-31,4.674106951871658,Grand Est
365,2022-01-01,4.674106951871658,Grand Est
366,2022-01-02,4.674106951871658,Grand Est
367,2022-01-03,4.674106951871658,Grand Est
368,2022-01-04,4.674106951871658,Grand Est
369,2022-01-05,4.674106951871658,Grand Est
370,2022-01-06,4.674106951871658,Grand Est
371,2022-01-07,4.674106951871658,Grand Est
372,2022-01-08,4.674106951871658,Grand Est
373,2022-01-09,3.09,Grand Est
374,2022-01-10,7.0,Grand Est
375,2022-01-11,11.48,Grand Est
376,2022-01-12,10.57,Grand Est
377,2022-01-13,18.32,Grand Est
378,2022-01-14,21.33,Grand Est
379,2022-01-15,14.82,Grand Est
380,2022-01-16,17.16,Grand Est
381,2022-01-17,14.18,Grand Est
382,2022-01-18,8.43,Grand Est
383,2022-01-19,8.3,Grand Est
384,2022-01-20,3.8,Grand Est
385,2022-01-21,3.7,Grand Est
386,2022-01-22,8.52,Grand Est
387,2022-01-23,14.69,Grand Est
388,2022-01-24,8.86,Grand Est
389,2022-01-25,22.1,Grand Est
390,2022-01-26,17.02,Grand Est
391,2022-01-27,12.2,Grand Est
392,2022-01-28,7.96,Grand Est
393,2022-01-29,3.83,Grand Est
394,2022-01-30,2.63,Grand Est
395,2022-01-31,1.55,Grand Est
396,2022-02-01,1.25,Grand Est
397,2022-02-02,2.63,Grand Est
398,2022-02-03,5.15,Grand Est
399,2022-02-04,1.94,Grand Est
400,2022-02-05,1.52,Grand Est
401,2022-02-06,0.7,Grand Est
402,2022-02-07,1.55,Grand Est
403,2022-02-08,2.69,Grand Est
404,2022-02-09,6.03,Grand Est
405,2022-02-10,4.43,Grand Est
406,2022-02-11,2.65,Grand Est
407,2022-02-12,7.0,Grand Est
408,2022-02-13,5.36,Grand Est
409,2022-02-14,2.7,Grand Est
410,2022-02-15,1.9,Grand Est
411,2022-02-16,0.43,Grand Est
412,2022-02-17,2.29,Grand Est
413,2022-02-18,1.1,Grand Est
