,Athlète,Date,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
107,jalabert,2023-10-03,214.98,10:02:27,4772,204,6701,425,64,21.4,74.3,Nuages,19,87,19,4.3,SW
108,jalabert,2023-10-01,97.7,3:31:01,836,155,1470,85,49,27.8,64.8,Dégagé,11,93,11,2.2,S
109,jalabert,2023-11-29,54.08,4:47:00,1649,174,2386,157,55,11.3,54.6,Quelques nuages,3,81,1,5.9,E
110,jalabert,2023-11-24,70.16,2:24:00,971,232,1802,135,73,29.2,65.1,Nuages,10,86,8,10.6,NW
111,jalabert,2023-11-21,129.79,4:43:38,1965,215,3252,223,68,27.5,65.9,Nuages,10,95,8,10.7,NW
112,jalabert,2023-11-19,111.29,3:46:08,1603,233,2879,202,73,29.5,61.2,Nuages,9,89,9,5.9,S
113,jalabert,2023-11-08,73.66,2:27:28,1100,237,1916,138,75,30.0,60.5,Nuages,8,98,7,6.5,S
114,jalabert,2023-12-31,53.24,2:40:51,761,199,1673,109,63,19.9,47.9,Pluie,7,93,3,17.0,SW
115,jalabert,2023-12-28,70.0,2:24:26,978,230,1859,129,72,29.1,65.2,Nuages,11,77,11,11.9,S
116,jalabert,2023-12-25,61.55,2:10:06,1036,243,1739,126,76,28.4,58.8,Nuages,5,97,4,4.4,SE
117,jalabert,2023-12-22,91.52,3:17:55,1240,218,2347,157,69,27.7,60.3,Nuages,11,93,10,15.7,WNW
118,jalabert,2023-12-20,92.04,3:08:53,789,207,2218,136,65,29.2,58.0,Nuages,8,85,5,16.2,NW
119,jalabert,2023-12-18,90.43,3:08:51,1148,225,2334,158,71,28.7,59.9,Dégagé,9,66,8,1.5,SE
120,jalabert,2023-12-16,94.54,3:07:24,1063,240,2502,177,75,30.3,61.6,Dégagé,9,74,8,6.5,NNE
121,jalabert,2023-12-10,81.64,2:40:26,852,236,2162,152,74,30.5,60.5,Nuages,8,95,7,7.8,SSE
122,jalabert,2023-12-01,51.18,3:39:15,1155,179,1929,125,56,14.0,47.5,Nuages,6,92,4,6.4,NNE
