,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
34,David Gaudu,2023-03-18,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,57.77,1:54:50,1004,999,9999,999,99,30.2,58.4,Quelques nuages,14,57,14,17.1,E
35,David Gaudu,2023-03-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,115.88,2:51:47,2265,999,9999,999,99,40.5,86.1,Dégagé,19,43,19,6.3,SSE
36,David Gaudu,2023-03-11,Auvergne-Rhône-Alpes,Ain,141.44,3:56:11,3347,999,9999,999,99,35.9,78.3,Quelques nuages,22,43,22,28.0,SW
37,David Gaudu,2023-03-10,Auvergne-Rhône-Alpes,Ain,40.2,1:21:48,592,999,9999,999,99,29.5,73.7,Quelques nuages,20,28,20,32.9,WSW
38,David Gaudu,2023-03-09,Auvergne-Rhône-Alpes,Ain,211.47,5:18:29,1913,999,9999,999,99,39.8,88.1,Quelques nuages,13,56,13,10.0,SSW
39,David Gaudu,2023-03-08,Auvergne-Rhône-Alpes,Ain,165.81,4:03:47,2529,999,9999,999,99,40.8,79.7,Nuages,12,79,12,29.2,SW
40,David Gaudu,2023-03-07,Auvergne-Rhône-Alpes,Loire,32.13,34:18,178,999,9999,999,99,56.2,75.0,Nuages,8,57,5,15.7,SW
41,David Gaudu,2023-03-06,Île-de-France,Yvelines,163.06,3:28:37,903,999,9999,999,99,46.9,85.2,Nuages,6,68,3,12.7,NW
42,David Gaudu,2023-03-05,Île-de-France,Yvelines,168.61,3:49:40,1495,999,9999,999,99,44.1,85.4,Nuages,7,56,7,5.2,NNW
43,David Gaudu,2023-03-04,Île-de-France,Yvelines,50.86,1:36:14,399,999,9999,999,99,31.7,64.4,Quelques nuages,2,79,1,10.7,NNE
44,David Gaudu,2023-03-02,Bretagne,Finistère,82.71,2:30:14,736,999,9999,999,99,33.0,53.3,Quelques nuages,4,81,1,9.9,E
45,David Gaudu,2023-03-01,Bretagne,Finistère,93.03,3:05:05,1151,999,9999,999,99,30.2,62.0,Dégagé,2,76,2,13.6,ENE
46,David Gaudu,2023-04-24,Occitanie,Lot,86.5,3:24:22,2672,999,9999,999,99,25.4,75.5,Nuages,6,83,3,17.5,W
47,David Gaudu,2023-04-13,Auvergne-Rhône-Alpes,Ain,59.62,1:59:13,887,999,9999,999,99,30.0,58.6,Quelques nuages,4,87,0,13.4,WSW
48,David Gaudu,2023-04-12,Bretagne,Côtes-d'Armor,95.25,2:55:47,1067,999,9999,999,99,32.5,69.1,Quelques nuages,5,85,1,23.3,WSW
49,David Gaudu,2023-04-11,Auvergne-Rhône-Alpes,Ain,61.69,1:58:38,815,999,9999,999,99,31.2,62.7,Nuages,10,79,9,18.0,SW
50,David Gaudu,2023-04-10,Bretagne,Côtes-d'Armor,48.34,1:31:44,539,999,9999,999,99,31.6,55.1,Pluie,12,88,11,24.8,SW
51,David Gaudu,2023-05-31,Auvergne-Rhône-Alpes,Ain,130.35,3:57:46,1307,999,9999,999,99,32.9,70.4,Nuages,12,86,11,22.0,NE
52,David Gaudu,2023-05-30,Auvergne-Rhône-Alpes,Ain,76.88,2:27:39,870,999,9999,999,99,31.2,59.2,Quelques nuages,12,81,11,24.0,NE
53,David Gaudu,2023-05-29,Bretagne,Côtes-d'Armor,89.08,2:55:17,892,999,9999,999,99,30.5,55.7,Vent,14,82,13,25.5,NE
54,David Gaudu,2023-05-28,Bretagne,Finistère,74.29,2:32:31,897,999,9999,999,99,29.2,62.4,Dégagé,13,77,13,21.0,NE
55,David Gaudu,2023-05-27,Bretagne,Finistère,51.61,1:47:24,487,999,9999,999,99,28.8,50.9,Dégagé,16,75,15,17.8,NE
56,David Gaudu,2023-06-27,Auvergne-Rhône-Alpes,Ain,61.38,2:01:33,777,999,9999,999,99,30.3,58.3,Quelques nuages,15,80,15,4.2,W
57,David Gaudu,2023-06-25,Hauts-de-France,Nord,220.53,5:50:21,4035,999,9999,999,99,37.8,92.5,Dégagé,26,58,26,10.2,SSE
58,David Gaudu,2023-06-24,Hauts-de-France,Pas-de-Calais,53.0,1:37:29,647,999,9999,999,99,32.6,61.5,Dégagé,19,76,19,14.5,WSW
59,David Gaudu,2023-06-23,Auvergne-Rhône-Alpes,Ain,49.47,1:37:31,573,999,9999,999,99,30.4,60.8,Nuages,25,61,26,11.2,WSW
60,David Gaudu,2023-06-22,Bretagne,Côtes-d'Armor,181.37,4:42:25,1880,999,9999,999,99,38.5,68.0,Quelques nuages,16,87,16,12.4,NNW
61,David Gaudu,2023-06-21,Bretagne,Finistère,136.12,4:03:21,1396,999,9999,999,99,33.6,59.5,Nuages,17,85,17,12.0,SSW
62,David Gaudu,2023-06-19,Bretagne,Finistère,40.28,1:20:11,275,999,9999,999,99,30.1,51.7,Nuages,21,68,21,12.5,SSW
63,David Gaudu,2023-06-18,Auvergne-Rhône-Alpes,Savoie,72.43,2:44:57,1893,999,9999,999,99,26.3,72.7,Dégagé,8,62,7,5.3,SE
64,David Gaudu,2023-06-17,Auvergne-Rhône-Alpes,Savoie,104.54,3:55:57,2641,999,9999,999,99,26.6,88.7,Dégagé,9,49,7,3.0,WNW
65,David Gaudu,2023-06-16,Auvergne-Rhône-Alpes,Savoie,57.67,2:10:51,1614,999,9999,999,99,26.4,81.4,Dégagé,8,62,7,7.0,NW
66,David Gaudu,2023-06-15,Auvergne-Rhône-Alpes,Savoie,36.44,1:20:00,713,999,9999,999,99,27.3,68.9,Dégagé,6,66,5,5.8,NW
67,David Gaudu,2023-06-12,Auvergne-Rhône-Alpes,Savoie,22.19,57:47,646,999,9999,999,99,23.0,57.2,Quelques nuages,17,68,16,2.0,WNW
68,David Gaudu,2023-06-11,Auvergne-Rhône-Alpes,Isère,151.35,4:25:21,3942,999,9999,999,99,34.2,85.1,Quelques nuages,19,76,19,5.5,NW
69,David Gaudu,2023-06-10,Auvergne-Rhône-Alpes,Savoie,146.46,4:18:50,3909,999,9999,999,99,34.0,84.9,Nuages,19,79,19,2.7,WNW
70,David Gaudu,2023-06-09,Auvergne-Rhône-Alpes,Ain,169.1,4:03:43,3052,999,9999,999,99,41.6,85.1,Nuages,21,68,21,4.3,SW
