,Station,Date,PM 2.5
0,Dijon,2023-01-01,24
1,Dijon,2023-01-02,32
2,Dijon,2023-01-03,34
3,Dijon,2023-01-03,34
4,Dijon,2023-01-05,24
5,Dijon,2023-01-06,14
6,Dijon,2023-01-07,21
7,Dijon,2023-01-07,21
8,Dijon,2023-01-08,21
9,Dijon,2023-01-09,13
10,Dijon,2023-01-11,19
11,Dijon,2023-01-11,19
12,Dijon,2023-01-12,28
13,Dijon,2023-01-14,17
14,Dijon,2023-01-15,26
15,Dijon,2023-01-15,26
16,Dijon,2023-01-16,11
17,Dijon,2023-01-17,12
18,Dijon,2023-01-19,30
19,Dijon,2023-01-19,30
20,Dijon,2023-01-20,49
21,Dijon,2023-01-21,34
22,Dijon,2023-01-22,34
23,Dijon,2023-01-24,27
24,Dijon,2023-01-24,27
25,Dijon,2023-01-25,42
26,Dijon,2023-01-27,16
27,Dijon,2023-01-27,16
28,Dijon,2023-01-29,23
29,Dijon,2023-01-29,23
30,Dijon,2023-02-07,18
31,Dijon,2023-02-07,18
32,Dijon,2023-02-08,41
33,Dijon,2023-02-16,92
34,Dijon,2023-02-16,92
35,Dijon,2023-02-23,83
36,Dijon,2023-02-23,83
37,Dijon,2023-02-28,19
38,Dijon,2023-02-28,19
39,Dijon,2023-03-02,61
40,Dijon,2023-03-02,61
41,Dijon,2023-03-03,73
42,Dijon,2023-03-17,28
43,Dijon,2023-03-17,28
44,Dijon,2023-03-18,18
45,Dijon,2023-03-20,22
46,Dijon,2023-03-20,22
47,Dijon,2023-03-21,25
48,Dijon,2023-03-22,29
49,Dijon,2023-03-23,25
50,Dijon,2023-03-24,31
51,Dijon,2023-03-25,26
52,Dijon,2023-03-29,19
53,Dijon,2023-03-29,19
54,Dijon,2023-03-30,43
55,Dijon,2023-03-31,13
56,Dijon,2023-04-01,25
57,Dijon,2023-04-09,15
58,Dijon,2023-04-09,15
59,Dijon,2023-04-12,13
60,Dijon,2023-04-12,13
61,Dijon,2023-04-13,23
62,Dijon,2023-04-14,15
63,Dijon,2023-04-15,17
64,Dijon,2023-04-17,35
65,Dijon,2023-04-17,35
66,Dijon,2023-04-19,23
67,Dijon,2023-04-19,23
68,Dijon,2023-04-21,24
69,Dijon,2023-04-21,24
70,Dijon,2023-04-22,28
71,Dijon,2023-04-24,18
72,Dijon,2023-04-24,18
