,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
204,Warren Barguil,2021-05-21,Bretagne,Morbihan,86.78,2:29:57,877,238,1960,93,61,34.7,61.2,Quelques nuages,13,70,13,37.3,WSW
205,Warren Barguil,2021-05-20,Bretagne,Morbihan,79.89,2:34:04,1041,218,1804,82,56,31.1,58.7,Nuages,13,74,13,28.8,SSW
206,Warren Barguil,2021-05-17,Bretagne,Morbihan,53.46,1:52:11,390,159,959,32,41,28.6,54.4,Quelques nuages,12,88,12,29.2,W
207,Warren Barguil,2021-05-14,Bretagne,Finistère,96.23,2:58:22,1062,274,2692,148,70,32.4,63.7,Quelques nuages,13,79,13,18.8,W
208,Warren Barguil,2021-05-09,Bretagne,Morbihan,170.71,4:39:13,1174,246,3518,187,63,36.7,71.6,Quelques nuages,13,83,13,14.3,S
209,Warren Barguil,2021-05-08,Bretagne,Morbihan,65.97,3:13:20,1240,121,1406,999,99,20.5,52.6,Nuages,13,93,13,30.6,SSW
210,Warren Barguil,2021-05-07,Bretagne,Morbihan,60.38,1:39:04,585,233,1317,59,60,36.6,72.7,Quelques nuages,13,62,13,19.3,S
211,Warren Barguil,2021-05-05,Bretagne,Morbihan,73.57,3:51:29,1418,112,1551,999,99,19.1,67.0,Quelques nuages,8,73,6,15.0,WNW
212,Warren Barguil,2021-05-03,Bretagne,Morbihan,110.29,3:23:42,1631,262,2801,159,67,32.5,63.4,Quelques nuages,6,81,5,6.1,ESE
213,Warren Barguil,2021-05-01,Bretagne,Morbihan,102.36,2:54:45,1007,222,2092,96,57,35.1,63.0,Dégagé,7,77,4,12.0,NNE
214,Warren Barguil,2021-07-28,Bretagne,Morbihan,186.84,5:12:32,2318,247,3955,212,63,35.9,71.6,Quelques nuages,17,79,17,19.2,WSW
215,Warren Barguil,2021-07-22,Bretagne,Morbihan,61.06,1:56:44,753,243,1238,77,62,31.4,66.2,Quelques nuages,30,47,31,19.6,ESE
216,Warren Barguil,2021-07-20,Bretagne,Morbihan,105.81,3:12:39,1480,246,2277,128,63,33.0,67.0,Dégagé,22,81,23,15.5,ENE
217,Warren Barguil,2021-07-17,Bretagne,Morbihan,100.33,2:54:22,700,210,1988,85,54,34.5,57.6,Dégagé,16,74,16,18.9,NE
218,Warren Barguil,2021-07-15,Bretagne,Morbihan,62.84,1:48:12,525,211,1269,54,54,34.9,64.1,Quelques nuages,24,57,24,9.8,NNW
219,Warren Barguil,2021-08-30,Bretagne,Morbihan,60.48,1:54:47,520,210,1360,58,54,31.6,55.1,Dégagé,13,82,13,19.3,NE
220,Warren Barguil,2021-08-27,Bretagne,Morbihan,100.51,2:56:40,979,253,2269,127,65,34.1,90.0,Dégagé,13,94,13,16.5,NE
221,Warren Barguil,2021-08-25,Bretagne,Morbihan,202.97,5:32:00,2774,254,4384,239,65,36.7,82.8,Dégagé,15,86,15,22.2,NE
222,Warren Barguil,2021-08-22,Auvergne-Rhône-Alpes,Ain,48.63,1:28:54,447,207,1037,42,53,32.8,73.8,Quelques nuages,17,81,17,18.8,NW
223,Warren Barguil,2021-08-17,Auvergne-Rhône-Alpes,Ain,6.3,11:15,113,237,154,7,61,33.6,68.4,Quelques nuages,21,46,21,11.7,WNW
224,Warren Barguil,2021-08-14,Bretagne,Morbihan,199.56,5:29:02,2616,246,4307,221,63,36.4,77.0,Dégagé,15,83,15,7.7,NE
225,Warren Barguil,2021-08-13,Bretagne,Morbihan,98.3,2:57:07,1395,266,2285,137,68,33.3,71.6,Quelques nuages,21,66,21,12.1,WSW
226,Warren Barguil,2021-08-10,Bretagne,Morbihan,60.42,1:46:13,516,205,1228,49,53,34.1,59.0,Quelques nuages,18,88,18,11.2,NW
227,Warren Barguil,2021-08-01,Bretagne,Morbihan,62.96,1:46:06,551,232,1354,62,59,35.6,65.5,Quelques nuages,20,69,20,20.4,WSW
228,Warren Barguil,2021-09-21,Bretagne,Morbihan,51.18,1:26:39,586,229,1132,55,59,35.4,66.6,Dégagé,13,87,13,15.0,NNE
229,Warren Barguil,2021-09-18,Bretagne,Morbihan,55.85,2:54:52,1088,112,1179,999,99,19.2,56.9,Quelques nuages,20,81,20,12.0,SW
230,Warren Barguil,2021-09-17,Bretagne,Morbihan,103.75,2:50:00,519,227,2212,99,58,36.6,57.6,Quelques nuages,15,88,15,8.9,SSE
231,Warren Barguil,2021-09-16,Bretagne,Morbihan,86.38,2:23:45,799,226,1794,80,58,36.1,71.3,Quelques nuages,23,63,23,8.5,WSW
232,Warren Barguil,2021-09-07,Bretagne,Morbihan,60.7,2:54:38,1136,126,1319,999,99,20.9,72.7,Quelques nuages,21,62,21,26.1,E
233,Warren Barguil,2021-09-05,Bretagne,Morbihan,101.4,2:56:30,624,209,2096,89,54,34.5,64.1,Quelques nuages,15,95,15,6.4,E
234,Warren Barguil,2021-09-04,Bretagne,Morbihan,101.2,2:58:28,1070,262,2123,134,67,34.0,65.5,Quelques nuages,17,79,17,4.2,ESE
235,Warren Barguil,2021-09-03,Bretagne,Morbihan,239.52,6:41:27,2032,240,5518,263,62,35.8,70.6,Dégagé,16,75,16,16.6,ENE
236,Warren Barguil,2021-09-02,Bretagne,Morbihan,87.94,2:57:26,1509,260,2274,138,67,29.7,74.2,Dégagé,15,87,15,25.6,NE
237,Warren Barguil,2021-09-01,Bretagne,Morbihan,59.99,2:58:57,1182,121,1298,999,99,20.1,53.6,Dégagé,22,64,22,26.5,ENE
238,Warren Barguil,2021-11-30,Bretagne,Morbihan,124.33,3:51:31,1372,206,2550,108,53,32.2,68.0,Nuages,9,88,7,14.5,WNW
239,Warren Barguil,2021-12-31,Bretagne,Morbihan,56.55,2:52:11,1009,111,1147,999,99,19.7,49.8,Quelques nuages,12,86,12,19.1,SW
240,Warren Barguil,2021-12-24,Bretagne,Morbihan,220.89,6:22:27,1975,234,5038,240,60,34.7,69.6,Pluie,10,97,10,18.0,S
241,Warren Barguil,2021-12-21,Bretagne,Morbihan,107.58,2:59:16,777,250,2522,124,64,36.0,66.5,Quelques nuages,5,75,0,20.0,E
242,Warren Barguil,2021-12-20,Bretagne,Morbihan,58.78,3:07:30,1033,100,1126,999,99,18.8,57.9,Quelques nuages,2,88,2,21.6,E
