,Date,Station,PM 2.5
179,2021-05-23,Île-de-France,34.0
180,2021-05-24,Île-de-France,36.0
181,2021-05-25,,54.39114832535885
182,2021-05-26,Île-de-France,36.0
184,2021-05-27,,54.39114832535885
185,2021-05-28,Île-de-France,49.0
186,2021-05-29,Île-de-France,61.0
187,2021-05-30,Île-de-France,43.0
188,2021-05-31,Île-de-France,36.0
190,2021-06-01,,54.39114832535885
191,2021-06-02,,54.39114832535885
192,2021-06-03,,54.39114832535885
193,2021-06-04,Île-de-France,58.0
194,2021-06-05,Île-de-France,43.0
195,2021-06-06,Île-de-France,39.0
196,2021-06-07,Île-de-France,34.0
198,2021-06-08,,54.39114832535885
199,2021-06-09,Île-de-France,67.0
201,2021-06-10,,54.39114832535885
202,2021-06-11,Île-de-France,36.0
203,2021-06-12,Île-de-France,36.0
205,2021-06-13,,54.39114832535885
206,2021-06-14,Île-de-France,29.0
207,2021-06-15,Île-de-France,36.0
208,2021-06-16,Île-de-France,57.0
209,2021-06-17,Île-de-France,79.0
211,2021-06-18,Île-de-France,51.0
212,2021-06-19,Île-de-France,53.0
213,2021-06-20,Île-de-France,59.0
214,2021-06-21,,54.39114832535885
215,2021-06-22,Île-de-France,24.0
216,2021-06-23,Île-de-France,41.0
217,2021-06-24,Île-de-France,60.0
218,2021-06-25,Île-de-France,44.0
220,2021-06-26,,54.39114832535885
221,2021-06-27,Île-de-France,45.0
223,2021-06-28,,54.39114832535885
224,2021-06-29,Île-de-France,38.0
226,2021-06-30,Île-de-France,32.0
227,2021-07-01,,54.39114832535885
228,2021-07-02,Île-de-France,53.0
229,2021-07-03,Île-de-France,66.0
230,2021-07-04,Île-de-France,46.0
231,2021-07-05,Île-de-France,30.0
232,2021-07-06,Île-de-France,36.0
234,2021-07-07,,54.39114832535885
235,2021-07-08,Île-de-France,30.0
236,2021-07-09,Île-de-France,26.0
237,2021-07-10,Île-de-France,37.0
238,2021-07-11,Île-de-France,36.0
239,2021-07-12,Île-de-France,24.0
240,2021-07-13,Île-de-France,47.0
241,2021-07-14,Île-de-France,54.0
242,2021-07-15,Île-de-France,38.0
243,2021-07-16,Île-de-France,41.0
245,2021-07-17,,54.39114832535885
246,2021-07-18,Île-de-France,66.0
247,2021-07-19,Île-de-France,45.0
248,2021-07-20,Île-de-France,54.0
249,2021-07-21,Île-de-France,65.0
251,2021-07-22,,54.39114832535885
252,2021-07-23,Île-de-France,60.0
254,2021-07-24,Île-de-France,62.0
255,2021-07-25,,54.39114832535885
256,2021-07-26,Île-de-France,43.0
257,2021-07-27,Île-de-France,41.0
258,2021-07-28,Île-de-France,56.0
260,2021-07-29,,54.39114832535885
261,2021-07-30,Île-de-France,27.0
262,2021-07-31,Île-de-France,42.0
264,2021-08-01,,54.39114832535885
265,2021-08-02,Île-de-France,26.0
266,2021-08-03,Île-de-France,30.0
267,2021-08-04,Île-de-France,30.0
269,2021-08-05,,54.39114832535885
270,2021-08-06,Île-de-France,44.0
271,2021-08-07,Île-de-France,21.0
273,2021-08-08,,54.39114832535885
274,2021-08-09,Île-de-France,27.0
275,2021-08-10,Île-de-France,34.0
276,2021-08-11,Île-de-France,35.0
278,2021-08-12,,54.39114832535885
279,2021-08-13,Île-de-France,55.0
280,2021-08-14,Île-de-France,40.0
281,2021-08-15,Île-de-France,45.0
283,2021-08-16,Île-de-France,56.0
284,2021-08-17,,54.39114832535885
285,2021-08-18,Île-de-France,47.0
286,2021-08-19,Île-de-France,30.0
288,2021-08-20,,54.39114832535885
289,2021-08-21,Île-de-France,42.0
291,2021-08-22,,54.39114832535885
292,2021-08-23,Île-de-France,33.0
294,2021-08-24,,54.39114832535885
295,2021-08-25,Île-de-France,51.0
296,2021-08-26,Île-de-France,48.0
298,2021-08-27,,54.39114832535885
299,2021-08-28,Île-de-France,43.0
300,2021-08-29,Île-de-France,37.0
302,2021-08-30,,54.39114832535885
303,2021-08-31,Île-de-France,51.0
305,2021-09-01,,54.39114832535885
306,2021-09-02,Île-de-France,62.0
307,2021-09-03,Île-de-France,66.0
308,2021-09-04,Île-de-France,68.0
309,2021-09-05,Île-de-France,71.0
311,2021-09-06,,54.39114832535885
312,2021-09-07,Île-de-France,63.0
314,2021-09-08,,54.39114832535885
315,2021-09-09,Île-de-France,65.0
316,2021-09-10,Île-de-France,53.0
318,2021-09-11,,54.39114832535885
319,2021-09-12,Île-de-France,30.0
321,2021-09-13,Île-de-France,44.0
322,2021-09-14,,54.39114832535885
323,2021-09-15,Île-de-France,55.0
325,2021-09-16,Île-de-France,57.0
326,2021-09-17,Île-de-France,39.0
327,2021-09-18,,54.39114832535885
328,2021-09-19,Île-de-France,47.0
329,2021-09-20,Île-de-France,41.0
330,2021-09-21,Île-de-France,27.0
332,2021-09-22,,54.39114832535885
333,2021-09-23,Île-de-France,60.0
335,2021-09-24,Île-de-France,53.0
336,2021-09-25,,54.39114832535885
337,2021-09-26,Île-de-France,67.0
338,2021-09-27,Île-de-France,58.0
339,2021-09-28,Île-de-France,40.0
341,2021-09-29,,54.39114832535885
342,2021-09-30,Île-de-France,20.0
343,2021-10-01,Île-de-France,42.0
345,2021-10-02,,54.39114832535885
346,2021-10-03,Île-de-France,41.0
348,2021-10-04,,54.39114832535885
349,2021-10-05,Île-de-France,42.0
351,2021-10-06,Île-de-France,26.0
352,2021-10-07,,54.39114832535885
353,2021-10-08,Île-de-France,53.0
355,2021-10-09,,54.39114832535885
356,2021-10-10,Île-de-France,73.0
357,2021-10-11,Île-de-France,78.0
358,2021-10-12,Île-de-France,55.0
359,2021-10-13,Île-de-France,36.0
361,2021-10-14,Île-de-France,44.0
362,2021-10-15,Île-de-France,81.0
363,2021-10-16,,54.39114832535885
364,2021-10-17,Île-de-France,60.0
365,2021-10-18,Île-de-France,64.0
366,2021-10-19,Île-de-France,64.0
367,2021-10-20,Île-de-France,50.0
368,2021-10-21,Île-de-France,45.0
369,2021-10-22,Île-de-France,30.0
370,2021-10-23,Île-de-France,45.0
372,2021-10-24,Île-de-France,54.0
373,2021-10-25,,54.39114832535885
374,2021-10-26,Île-de-France,64.0
375,2021-10-27,Île-de-France,45.0
377,2021-10-28,,54.39114832535885
378,2021-10-29,Île-de-France,58.0
380,2021-10-30,,54.39114832535885
381,2021-10-31,Île-de-France,48.0
382,2021-11-01,Île-de-France,42.0
383,2021-11-02,Île-de-France,30.0
384,2021-11-03,Île-de-France,29.0
385,2021-11-04,Île-de-France,44.0
386,2021-11-05,Île-de-France,30.0
388,2021-11-06,Île-de-France,30.0
389,2021-11-07,Île-de-France,73.0
390,2021-11-08,,54.39114832535885
391,2021-11-09,Île-de-France,57.0
392,2021-11-10,Île-de-France,93.0
393,2021-11-11,Île-de-France,123.0
395,2021-11-12,,54.39114832535885
396,2021-11-13,Île-de-France,90.0
398,2021-11-14,,54.39114832535885
399,2021-11-15,Île-de-France,48.0
400,2021-11-16,Île-de-France,69.0
402,2021-11-17,,54.39114832535885
403,2021-11-18,Île-de-France,66.0
405,2021-11-19,,54.39114832535885
406,2021-11-20,Île-de-France,74.0
408,2021-11-21,,54.39114832535885
409,2021-11-22,Île-de-France,46.0
410,2021-11-23,Île-de-France,43.0
411,2021-11-24,Île-de-France,45.0
412,2021-11-25,Île-de-France,58.0
413,2021-11-26,Île-de-France,79.0
414,2021-11-27,Île-de-France,38.0
415,2021-11-28,Île-de-France,28.0
416,2021-11-29,Île-de-France,16.0
417,2021-11-30,Île-de-France,45.0
418,2021-12-01,Île-de-France,44.0
419,2021-12-02,Île-de-France,27.0
420,2021-12-03,Île-de-France,35.0
421,2021-12-04,Île-de-France,50.0
423,2021-12-05,,54.39114832535885
424,2021-12-06,Île-de-France,33.0
425,2021-12-07,Île-de-France,36.0
426,2021-12-08,Île-de-France,43.0
428,2021-12-09,,54.39114832535885
429,2021-12-10,Île-de-France,50.0
430,2021-12-11,Île-de-France,28.0
432,2021-12-12,,54.39114832535885
433,2021-12-13,Île-de-France,64.0
435,2021-12-14,,54.39114832535885
436,2021-12-15,Île-de-France,72.0
437,2021-12-16,Île-de-France,67.0
438,2021-12-17,Île-de-France,84.0
440,2021-12-18,,54.39114832535885
441,2021-12-19,Île-de-France,69.0
443,2021-12-20,,54.39114832535885
444,2021-12-21,Île-de-France,59.0
445,2021-12-22,Île-de-France,74.0
447,2021-12-23,,54.39114832535885
448,2021-12-24,Île-de-France,92.0
449,2021-12-25,Île-de-France,65.0
450,2021-12-26,Île-de-France,73.0
451,2021-12-27,Île-de-France,54.0
452,2021-12-28,Île-de-France,47.0
453,2021-12-29,Île-de-France,37.0
454,2021-12-30,Île-de-France,38.0
456,2021-12-31,,54.39114832535885
457,2022-01-01,Île-de-France,51.0
459,2022-01-02,,54.39114832535885
460,2022-01-03,Île-de-France,49.0
462,2022-01-04,Île-de-France,38.0
