,Date,Station,PM 2.5
1109,2023-09-08,Bourgogne-Franche-Comté,20.0
1110,2023-09-09,Bourgogne-Franche-Comté,33.0
1111,2023-09-10,Bourgogne-Franche-Comté,35.0
1112,2023-09-11,Bourgogne-Franche-Comté,35.0
1113,2023-09-12,Bourgogne-Franche-Comté,34.0
1114,2023-09-13,,27.58744394618834
1115,2023-09-14,Bourgogne-Franche-Comté,16.0
1117,2023-09-15,Bourgogne-Franche-Comté,8.0
1118,2023-09-16,Bourgogne-Franche-Comté,24.0
1119,2023-09-17,Bourgogne-Franche-Comté,22.0
1120,2023-09-18,,27.58744394618834
1121,2023-09-19,Bourgogne-Franche-Comté,11.0
1123,2023-09-20,Bourgogne-Franche-Comté,9.0
1124,2023-09-21,,27.58744394618834
1125,2023-09-22,Bourgogne-Franche-Comté,6.0
1127,2023-09-23,,27.58744394618834
1128,2023-09-24,Bourgogne-Franche-Comté,8.0
1130,2023-09-25,Bourgogne-Franche-Comté,5.0
1131,2023-09-26,Bourgogne-Franche-Comté,11.0
1132,2023-09-27,Bourgogne-Franche-Comté,20.0
1133,2023-09-28,,27.58744394618834
1134,2023-09-29,Bourgogne-Franche-Comté,27.0
1136,2023-09-30,,27.58744394618834
1137,2023-10-01,Bourgogne-Franche-Comté,27.0
1139,2023-10-02,,27.58744394618834
1140,2023-10-03,Bourgogne-Franche-Comté,42.0
1142,2023-10-04,Bourgogne-Franche-Comté,25.0
1143,2023-10-05,Bourgogne-Franche-Comté,10.0
1144,2023-10-06,Bourgogne-Franche-Comté,11.0
1145,2023-10-07,Bourgogne-Franche-Comté,17.0
1146,2023-10-08,Bourgogne-Franche-Comté,16.0
1147,2023-10-09,,27.58744394618834
1148,2023-10-10,Bourgogne-Franche-Comté,33.0
1150,2023-10-11,Bourgogne-Franche-Comté,40.0
1151,2023-10-12,Bourgogne-Franche-Comté,37.0
1152,2023-10-13,Bourgogne-Franche-Comté,36.0
1153,2023-10-14,Bourgogne-Franche-Comté,34.0
1154,2023-10-15,Bourgogne-Franche-Comté,26.0
1155,2023-10-16,Bourgogne-Franche-Comté,13.0
